 ,Area,Mean,Min,Max,X,Y,Circ.,Feret,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
1,60,1.000,1,1,306.250,319.100,0.803,9.790,301.950,321.540,33.755,8.494,1.095,0.913,0.984
2,86,2.000,2,2,4.570,446.837,0.822,11.471,-0.570,449.890,33.732,10.509,1.078,0.928,0.910
3,54,3.000,3,3,280.278,152.537,0.762,9.383,276.410,155.230,44.698,8.521,1.070,0.934,0.908
4,86,4.000,4,4,273.488,501.872,0.867,12.239,271.680,495.700,103.321,9.347,1.341,0.745,0.972
5,58,4.931,1,5,302.276,326.224,0.805,9.566,298.420,323.770,146.210,8.184,1.069,0.935,0.959
6,44,6.000,6,6,272.364,328.318,0.756,9.155,268.720,331.030,33.777,7.278,1.177,0.850,0.907
7,57,7.000,7,7,287.009,161.079,0.814,9.422,282.480,163.190,16.589,8.174,1.223,0.817,0.912
8,50,8.000,8,8,234.640,278.800,0.784,9.336,230.780,276.010,146.225,7.623,1.116,0.896,0.909
9,56,9.000,9,9,250.500,103.161,0.743,9.727,247.950,98.680,111.659,8.015,1.300,0.769,0.911
10,74,10.000,10,10,177.797,125.284,0.884,11.058,174.780,130.060,56.209,8.388,1.316,0.760,0.967
11,54,11.000,11,11,324.130,510.463,0.803,9.649,319.280,510.500,174.827,7.348,1.289,0.776,0.964
12,57,12.000,12,12,364.728,277.763,0.811,9.869,360.140,275.590,162.850,7.562,1.357,0.737,0.912
13,48,13.000,13,13,350.500,495.000,0.878,9.119,347.690,498.710,51.232,7.483,1.219,0.820,1.000
14,63,14.000,14,14,208.802,116.643,0.832,10.281,206.070,112.860,123.736,8.085,1.261,0.793,0.913
15,59,15.000,15,15,162.483,484.246,0.754,11.260,157.880,487.590,33.775,7.447,1.564,0.639,0.861
16,99,16.000,16,16,262.389,264.116,0.847,14.062,256.510,260.500,151.777,9.382,1.553,0.644,0.947
17,46,17.000,17,17,684.543,498.261,0.749,9.191,680.600,495.890,146.224,7.124,1.280,0.781,0.939
18,65,18.000,18,18,183.269,106.254,0.763,11.658,183.840,99.760,99.131,8.628,1.274,0.785,0.942
19,45,19.000,19,19,196.300,202.944,0.825,8.946,192.990,200.160,134.139,7.184,1.236,0.809,0.928
20,65,20.000,20,20,136.669,492.392,0.788,10.980,132.120,489.570,146.252,8.503,1.304,0.767,0.963
21,56,21.000,21,21,147.964,494.357,0.742,10.359,142.570,493.320,159.133,8.405,1.246,0.803,0.933
22,60,22.000,22,22,466.983,457.433,0.796,10.718,462.710,453.970,133.148,8.260,1.298,0.770,0.938
23,129,23.000,23,23,167.074,492.740,0.944,14.130,160.040,492.500,0.000,11.590,1.211,0.826,1.004
24,38,24.000,24,24,382.263,446.684,0.897,7.441,379.340,444.390,140.727,6.723,1.070,0.934,0.938
25,55,25.000,25,25,257.736,150.227,0.826,10.520,252.520,150.500,0.000,7.074,1.604,0.623,0.991
26,54,26.000,26,26,544.481,506.667,0.788,10.034,540.260,509.330,45.040,7.833,1.258,0.795,0.939
27,50,27.000,27,27,240.800,63.600,0.774,8.861,237.890,60.590,123.726,7.818,1.210,0.826,0.935
28,35,28.000,28,28,284.386,327.700,0.794,7.460,284.500,323.990,90.000,6.809,1.141,0.876,0.933
29,57,29.000,29,29,232.184,108.447,0.786,10.388,226.900,107.390,158.424,7.225,1.414,0.707,0.927
30,78,30.000,30,30,280.462,359.346,0.861,12.400,277.370,353.820,123.754,8.336,1.507,0.664,0.945
31,52,31.000,31,31,278.827,176.788,0.758,9.504,275.910,180.380,44.574,8.298,1.115,0.897,0.954
32,47,32.000,32,32,390.372,481.053,0.876,8.717,387.160,478.270,146.273,7.505,1.130,0.885,1.000
33,43,33.000,33,33,262.547,280.198,0.804,9.078,258.460,277.800,146.275,6.753,1.239,0.807,0.935
34,35,34.000,34,34,192.643,166.414,0.772,7.972,191.740,170.330,78.789,6.043,1.326,0.754,0.986
35,35,35.000,35,35,394.357,454.871,0.852,7.824,392.160,458.010,56.310,6.285,1.108,0.902,0.972
36,42,36.000,36,36,186.357,185.143,0.827,7.927,183.380,182.420,134.233,7.103,1.112,0.900,0.923
37,47,37.000,37,37,344.500,278.500,0.847,8.559,341.010,280.830,33.709,7.088,1.093,0.915,0.922
38,57,38.000,38,38,206.728,103.482,0.852,9.803,206.500,108.520,76.191,7.431,1.380,0.724,0.912
39,35,39.000,39,39,286.243,335.357,0.878,7.190,286.500,331.860,90.000,6.364,1.094,0.914,0.986
40,41,40.000,40,40,192.793,192.500,0.845,8.825,189.020,190.180,146.274,6.633,1.335,0.749,0.965
41,73,41.000,41,41,343.678,501.336,0.832,12.466,337.410,503.440,8.767,7.917,1.589,0.629,0.967
42,40,42.000,42,42,384.050,380.450,0.814,7.794,380.870,382.930,33.751,7.008,1.032,0.969,1.000
43,41,43.000,43,43,150.646,486.280,0.901,7.849,147.620,483.620,140.428,7.137,1.078,0.927,1.012
44,39,44.000,44,44,559.987,488.833,0.758,8.664,556.460,491.200,38.722,7.069,1.320,0.757,0.848
45,37,45.000,45,45,230.500,130.500,0.915,7.838,227.160,132.730,33.710,6.072,1.286,0.778,0.902
46,52,46.000,46,46,188.712,133.654,0.859,8.875,185.790,130.440,123.744,7.986,1.175,0.851,0.912
47,34,47.000,47,47,354.441,354.000,0.920,7.048,351.290,352.360,141.162,6.163,1.094,0.914,0.907
